ax,ay,az,label
-0.6509,0.7539,-0.6486,walking
-0.5487,0.7979,-0.3849,walking
-0.4227,0.9149,-0.1544,walking
-0.4384,0.8387,-0.2200,walking
-0.5023,0.6686,-0.4091,walking
-0.4463,0.6807,-0.3146,walking
-0.4286,0.8918,-0.1770,walking
-0.4225,0.9653,-0.0333,walking
-0.4299,0.7456,-0.1993,walking
-0.5291,0.5319,-0.4954,walking
-0.5565,0.5242,-0.6248,walking
-0.5381,0.6722,-0.4687,walking
-0.4786,0.7742,-0.2592,walking
-0.4760,0.7709,-0.2576,walking
-0.4906,0.7755,-0.3513,walking
-0.4834,0.7911,-0.3491,walking
-0.4866,0.8363,-0.2516,walking
-0.5229,0.8030,-0.3019,walking
0.0068,0.8438,0.2435,walking
-0.0151,0.9473,0.0472,walking
-0.0038,0.8877,0.0995,walking
0.0262,0.8040,0.1348,walking
0.0287,0.8546,0.1874,walking
0.0547,0.8038,0.2852,walking
0.0398,0.7568,0.3005,walking
0.0079,0.9054,0.3098,walking
0.0310,0.9094,0.3358,walking
0.0045,0.8752,0.3306,walking
-0.0272,0.9320,0.3214,walking
-0.0580,0.9192,0.2949,walking
-0.0697,1.0549,0.2390,walking
-0.1003,1.0823,0.2124,walking
-0.0526,1.0710,0.3029,walking
-0.0542,1.1287,0.2909,walking
-0.1671,1.3411,0.0743,walking
-0.1874,1.1742,0.0482,walking
-0.1223,0.9561,0.2556,walking
-0.1060,0.9049,0.1642,walking
-0.1141,0.9626,0.1371,walking
-0.1132,0.9064,0.1555,walking
-0.1467,0.8463,0.1442,walking
-0.1326,0.8003,0.1367,walking
-0.0798,0.7655,0.2310,walking
-0.0370,0.7378,0.2609,walking
-0.0475,0.8352,0.2360,walking
-0.0516,0.8197,0.2146,walking
-0.0281,0.7932,0.2648,walking
-0.0660,0.9548,0.1959,walking
-0.0779,1.0271,0.1166,walking
-0.0581,1.0851,0.2357,walking
-0.0493,1.0184,0.1798,walking
-0.0770,1.2092,0.1672,walking
-0.0358,1.2633,0.0814,walking
-0.0168,1.1034,0.0970,walking
0.0255,0.8444,0.2711,walking
0.0609,0.9332,0.2247,walking
0.1006,0.9768,0.1389,walking
0.0929,0.8927,0.1678,walking
0.0203,0.8589,0.1525,walking
-0.0048,0.7952,0.1899,walking
0.0557,0.6901,0.3259,walking
0.0486,0.7642,0.2714,walking
0.0385,0.8776,0.2534,walking
0.0376,0.9769,0.2899,walking
0.0328,0.9623,0.2922,walking
0.0319,0.9644,0.2809,walking
0.0216,1.0209,0.2363,walking
-0.0331,0.9935,0.2281,walking
-0.0137,1.0472,0.3573,walking
-0.0614,1.1797,0.1987,walking
-0.1353,1.2189,0.0995,walking
-0.0610,0.9402,0.3127,walking
-0.0878,0.8656,0.1449,walking
-0.1368,0.9623,0.1428,walking
-0.1342,0.9470,0.1880,walking
-0.1115,0.8333,0.2146,walking
-0.0702,0.7170,0.1726,walking
-0.0731,0.7588,0.1873,walking
-0.0566,0.8138,0.3400,walking
-0.0448,0.8167,0.3621,walking
-0.0664,0.8510,0.3024,walking
-0.0724,0.9045,0.2588,walking
-0.0760,0.8724,0.2390,walking
-0.1177,0.9897,0.3003,walking
-0.1198,1.1304,0.2410,walking
-0.0592,1.1644,0.2406,walking
-0.0458,1.1240,0.2780,walking
-0.0247,1.2272,0.3282,walking
-0.0051,1.2806,0.0355,walking
0.0448,0.9918,0.0327,walking
0.0454,0.7981,0.1665,walking
0.0559,0.7391,0.1542,walking
0.0493,0.9019,0.2056,walking
0.0811,0.9244,0.1431,walking
0.0743,0.9375,0.1591,walking
0.0594,0.8892,0.1370,walking
0.0630,0.7655,0.1908,walking
0.0615,0.7479,0.2976,walking
0.0909,0.7643,0.3168,walking
0.0809,0.8005,0.3112,walking
0.0751,0.9128,0.2969,walking
0.0948,0.9551,0.4149,walking
0.0596,0.9707,0.3538,walking
0.0588,1.0326,0.2372,walking
0.0277,1.0568,0.5839,walking
0.0099,0.9669,0.2410,walking
0.0267,0.9957,0.4120,walking
0.0447,1.0425,0.2979,walking
-0.0729,1.1116,0.0151,walking
-0.1077,1.0989,0.0996,walking
-0.0836,0.8527,0.2284,walking
-0.0748,0.8081,0.1604,walking
-0.0770,0.9939,0.1768,walking
-0.0751,0.9736,0.1884,walking
-0.1055,0.8717,0.1523,walking
-0.0586,0.8130,0.2234,walking
-0.0458,0.7667,0.2632,walking
-0.0194,0.7443,0.3080,walking
-0.0085,0.8376,0.2874,walking
0.0029,0.8989,0.2644,walking
-0.0005,0.8929,0.2465,walking
-0.0385,1.0565,0.2396,walking
-0.0319,1.1036,0.2111,walking
-0.0226,1.0629,0.1263,walking
0.0088,0.9672,0.2314,walking
0.0026,1.1279,0.3314,walking
0.0203,1.2152,0.1180,walking
0.0509,0.9503,0.0610,walking
-0.0168,0.8881,0.2120,walking
-0.0406,0.9653,0.1962,walking
-0.0094,0.9764,0.1659,walking
0.0536,0.9248,0.1580,walking
0.0743,0.8143,0.1042,walking
0.0204,0.8209,0.1215,walking
0.0267,0.8065,0.2202,walking
0.0642,0.7256,0.3765,walking
0.0475,0.8214,0.3000,walking
0.0364,0.9219,0.3646,walking
0.0554,0.9091,0.3699,walking
0.0284,0.9755,0.2963,walking
0.0253,0.9987,0.3318,walking
0.0339,1.0371,0.3575,walking
0.0184,1.0725,0.2894,walking
-0.0221,1.0826,0.2699,walking
-0.0481,1.2395,0.1927,walking
-0.0958,1.1617,-0.0278,walking
-0.1022,0.9388,0.1542,walking
-0.0620,0.8600,0.2275,walking
-0.0239,0.9166,0.2343,walking
0.0098,0.9860,0.0754,walking
-0.0709,1.0248,0.0220,walking
-0.0756,0.8232,0.1163,walking
-0.0219,0.6429,0.1749,walking
0.0125,0.5963,0.1504,walking
-0.0088,0.7949,0.2155,walking
-0.0005,0.8617,0.2577,walking
0.0010,0.9423,0.2301,walking
0.0159,0.9951,0.2031,walking
0.0455,1.0533,0.2305,walking
0.0380,1.1158,0.1185,walking
0.0918,1.1307,0.1002,walking
0.0762,1.2446,0.1696,walking
0.0316,1.2864,-0.0150,walking
0.0928,1.1476,0.0217,walking
0.0931,0.8750,0.0031,walking
0.0897,0.9827,0.2347,walking
0.1332,0.9739,0.1829,walking
0.1632,0.9238,0.2505,walking
0.1558,0.7452,0.2012,walking
0.0973,0.6041,0.1392,walking
0.0341,0.6185,0.2037,walking
0.0229,0.6240,0.2738,walking
0.0286,0.6801,0.2474,walking
0.0339,0.8535,0.2955,walking
0.0005,0.9086,0.2389,walking
0.0248,0.8835,0.3011,walking
0.0240,0.9299,0.3153,walking
0.0485,1.0454,0.2716,walking
0.0544,1.2251,0.3451,walking
0.0018,1.4830,0.2864,walking
-0.0695,1.5232,0.2687,walking
-0.0015,1.2147,-0.0261,walking
-0.0251,0.8198,0.0170,walking
