ax,ay,az,gx,gy,gz,label
-0.099,0.972,0.120,-3.357,0.671,0.305,0
-0.087,0.977,0.113,-1.343,0.610,0.549,0
-0.081,0.977,0.108,0.000,0.610,1.038,0
-0.081,0.987,0.111,-0.122,0.610,1.465,0
-0.086,0.988,0.104,-0.732,0.732,1.892,0
-0.093,0.981,0.102,-0.305,0.732,1.892,0
-0.097,0.978,0.104,0.061,0.854,1.831,0
-0.095,0.976,0.106,-0.610,0.793,1.465,0
-0.105,0.987,0.113,-2.197,0.793,1.404,0
-0.106,0.991,0.112,-1.709,0.732,1.221,0
-0.106,0.987,0.104,0.488,0.732,0.854,0
-0.103,0.991,0.104,2.319,0.671,0.610,0
-0.099,0.990,0.104,2.808,0.732,0.000,0
-0.104,0.983,0.107,0.122,0.610,-0.183,0
-0.103,0.986,0.113,-1.709,0.366,-0.610,0
-0.104,0.990,0.115,-0.122,-0.061,-1.343,0
-0.100,0.984,0.107,-0.488,-0.122,-1.831,0
-0.098,0.985,0.102,-1.282,-0.427,-1.587,0
-0.090,0.987,0.103,-1.709,-0.427,-1.770,0
-0.096,0.984,0.104,0.732,-0.427,-1.831,0
-0.100,0.976,0.105,2.563,-0.671,-1.282,0
-0.101,0.967,0.105,1.892,-0.977,-1.099,0
-0.099,0.972,0.104,-0.793,-1.282,-0.610,0
-0.095,0.982,0.107,-1.648,-1.587,-0.305,0
-0.097,0.980,0.109,-0.732,-1.709,0.366,0
-0.098,0.982,0.107,3.296,-1.587,0.549,0
-0.097,0.979,0.103,4.089,-1.648,0.793,0
-0.099,0.978,0.110,1.343,-1.465,0.549,0
-0.098,0.976,0.111,-1.648,-1.648,0.366,0
-0.102,0.977,0.112,-2.563,-1.465,0.427,0
-0.099,0.984,0.113,-0.854,-1.160,0.305,0
-0.096,0.985,0.105,1.892,-0.916,0.061,0
-0.101,0.990,0.101,2.197,-0.793,0.000,0
-0.106,0.983,0.103,1.282,-0.305,-0.244,0
-0.106,0.977,0.109,-0.977,-0.183,-0.610,0
-0.102,0.975,0.115,-2.625,-0.122,-0.977,0
-0.102,0.984,0.119,-3.601,-0.061,-0.854,0
-0.100,0.980,0.119,-2.808,-0.183,-0.732,0
-0.101,0.987,0.110,0.061,-0.061,-0.854,0
-0.098,0.982,0.100,1.587,0.183,-0.610,0
-0.103,0.979,0.097,-0.427,0.366,-0.671,0
-0.103,0.984,0.106,-2.441,0.549,-0.183,0
-0.100,0.986,0.105,-2.075,0.488,-0.122,0
-0.101,0.980,0.106,-0.671,0.671,0.244,0
-0.099,0.971,0.105,-1.343,0.610,0.183,0
-0.097,0.969,0.109,-3.235,0.732,0.061,0
-0.096,0.979,0.109,-2.563,0.427,0.366,0
-0.098,0.978,0.108,-0.671,0.427,0.427,0
-0.098,0.977,0.103,-0.488,0.610,0.549,0
-0.096,0.978,0.092,0.732,0.793,0.671,0
-0.095,0.982,0.097,0.061,0.793,0.488,0
-0.098,0.987,0.103,-2.380,0.916,0.793,0
-0.101,0.990,0.102,-3.174,1.038,0.793,0
-0.100,0.986,0.100,-0.916,1.221,0.610,0
-0.099,0.988,0.103,0.977,1.465,0.244,0
-0.105,0.986,0.100,0.122,1.282,0.244,0
-0.104,0.988,0.102,-0.793,1.465,0.000,0
-0.103,0.983,0.104,-1.587,1.465,-0.305,0
-0.097,0.982,0.100,-1.526,1.404,-0.366,0
-0.088,0.984,0.103,-1.099,1.648,-0.305,0
-0.095,0.986,0.103,-0.122,1.587,-0.305,0
-0.099,0.987,0.105,-0.244,1.770,-0.427,0
-0.096,0.982,0.100,0.000,2.014,-0.732,0
-0.097,0.982,0.095,0.366,2.075,-0.977,0
-0.090,0.982,0.098,-1.160,2.136,-1.038,0
-0.092,0.983,0.102,-1.953,2.197,-0.793,0
-0.098,0.983,0.104,-0.671,2.258,-0.732,0
-0.101,0.979,0.099,0.366,2.258,-0.610,0
-0.099,0.979,0.099,-0.244,2.563,-0.488,0
-0.099,0.978,0.102,-1.404,2.197,-0.610,0
-0.096,0.979,0.105,-1.709,2.014,-0.061,0
-0.094,0.979,0.100,-1.099,1.404,0.244,0
-0.096,0.982,0.100,-0.122,1.160,0.366,0
-0.094,0.985,0.094,1.709,0.977,1.038,0
-0.094,0.980,0.090,2.014,1.038,1.404,0
-0.101,0.979,0.096,0.488,0.854,1.465,0
-0.107,0.982,0.101,-0.732,0.427,1.770,0
-0.109,0.980,0.099,-1.221,0.244,1.648,0
-0.102,0.982,0.096,0.854,0.366,1.343,0
-0.097,0.985,0.097,2.563,0.549,1.099,0
-0.092,0.987,0.100,1.404,0.366,0.732,0
-0.094,0.986,0.099,-1.221,0.244,0.732,0
-0.097,0.985,0.104,-1.465,0.061,0.488,0
-0.095,0.981,0.099,-0.061,0.061,0.549,0
